label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
A,0.368966,0.230403,0.000000,0.452401,0.280807,-0.055915,0.529795,0.348921,-0.103800,0.602780,0.405355,-0.142259,0.673616,0.433723,-0.184212,0.441930,0.348947,-0.162088,0.486213,0.472310,-0.223380,0.520566,0.575135,-0.254571,0.548030,0.676334,-0.275811,0.356345,0.354153,-0.161046,0.359566,0.498689,-0.226310,0.365246,0.618669,-0.257487,0.368679,0.728167,-0.282188,0.286596,0.358270,-0.157097,0.265682,0.478090,-0.221761,0.258471,0.586204,-0.249588,0.257531,0.688670,-0.265146,0.234524,0.359085,-0.153619,0.181335,0.460248,-0.199768,0.153421,0.533293,-0.217633,0.135458,0.608981,-0.230809
A,0.384793,0.729546,-0.000000,0.435841,0.710629,-0.045240,0.491171,0.625870,-0.058056,0.510330,0.539184,-0.062502,0.531745,0.482168,-0.058549,0.470649,0.519264,-0.027838,0.469698,0.511421,-0.054834,0.458771,0.577041,-0.062901,0.449539,0.574797,-0.067391,0.423658,0.505347,-0.015636,0.417385,0.514691,-0.043812,0.419444,0.597005,-0.042251,0.420373,0.581944,-0.036215,0.379567,0.513293,-0.010812,0.370930,0.533708,-0.040043,0.383421,0.604997,-0.027548,0.389325,0.591682,-0.015043,0.339960,0.531045,-0.010340,0.334347,0.570189,-0.028569,0.349303,0.616809,-0.024217,0.357651,0.604089,-0.017664
A,0.386707,0.731696,-0.000000,0.438694,0.713884,-0.043815,0.494630,0.630120,-0.056974,0.513789,0.544706,-0.062361,0.534311,0.488639,-0.059463,0.472098,0.522490,-0.028252,0.474192,0.514889,-0.056713,0.463025,0.582099,-0.064341,0.451339,0.583549,-0.067864,0.425210,0.509231,-0.017611,0.422563,0.516977,-0.048522,0.423438,0.601131,-0.047385,0.422101,0.589968,-0.040647,0.381305,0.517799,-0.014150,0.375047,0.537660,-0.046270,0.387166,0.610572,-0.033999,0.391263,0.599738,-0.020626,0.341630,0.537215,-0.014703,0.338814,0.576066,-0.034922,0.353109,0.623531,-0.030542,0.359387,0.611377,-0.023341
A,0.398900,0.741889,-0.000000,0.451351,0.724876,-0.042082,0.507729,0.642599,-0.054695,0.528473,0.556962,-0.060035,0.549176,0.500581,-0.057424,0.486981,0.531885,-0.025548,0.492504,0.529440,-0.054250,0.478968,0.595877,-0.064199,0.465961,0.593438,-0.069884,0.439159,0.516408,-0.015941,0.439081,0.532236,-0.046704,0.438170,0.615211,-0.047468,0.435982,0.601812,-0.042722,0.394393,0.524517,-0.013436,0.391427,0.550618,-0.045386,0.401414,0.622938,-0.034652,0.404012,0.610736,-0.022708,0.354442,0.543715,-0.014822,0.354191,0.586455,-0.035242,0.367622,0.633582,-0.031865,0.373668,0.620611,-0.025513
A,0.402024,0.747884,-0.000000,0.452729,0.731967,-0.043043,0.509940,0.650158,-0.056258,0.531001,0.566029,-0.061724,0.553140,0.510227,-0.059266,0.486991,0.535877,-0.027129,0.496113,0.537144,-0.055530,0.482860,0.602272,-0.065785,0.468192,0.598110,-0.071963,0.440269,0.519668,-0.016861,0.442342,0.540672,-0.047167,0.441920,0.621835,-0.048617,0.438555,0.607849,-0.044622,0.396619,0.528122,-0.013551,0.395405,0.560848,-0.044612,0.405744,0.631404,-0.034657,0.407120,0.617968,-0.023592,0.358017,0.547621,-0.014269,0.359343,0.596800,-0.034419,0.372753,0.642507,-0.032042,0.377240,0.628063,-0.026561
A,0.394495,0.743330,-0.000000,0.445411,0.725285,-0.042234,0.500584,0.644845,-0.055442,0.521509,0.561242,-0.061207,0.543350,0.505550,-0.059098,0.480715,0.532819,-0.026962,0.484138,0.533718,-0.054599,0.472759,0.598129,-0.064120,0.460467,0.594687,-0.069703,0.432576,0.516882,-0.016947,0.430953,0.537952,-0.046122,0.432207,0.617759,-0.047014,0.430366,0.602531,-0.042962,0.388131,0.525357,-0.013722,0.384351,0.555957,-0.043847,0.396134,0.625911,-0.033334,0.398911,0.613436,-0.022150,0.349031,0.544833,-0.014491,0.349241,0.591031,-0.033944,0.363317,0.636744,-0.030796,0.368802,0.623713,-0.024810
A,0.394962,0.743957,-0.000000,0.445360,0.728697,-0.043529,0.501185,0.648145,-0.057054,0.521905,0.563881,-0.062387,0.546000,0.511023,-0.059618,0.479571,0.536458,-0.030543,0.485605,0.535461,-0.058526,0.473763,0.601411,-0.067165,0.460307,0.596113,-0.072230,0.431827,0.520693,-0.019549,0.433191,0.536561,-0.049332,0.433161,0.618602,-0.049280,0.429938,0.602901,-0.044430,0.388056,0.528662,-0.015239,0.386002,0.556364,-0.045462,0.397121,0.627680,-0.034052,0.398797,0.614764,-0.022364,0.349408,0.547052,-0.014955,0.349432,0.593272,-0.034063,0.364480,0.639769,-0.030689,0.370455,0.626377,-0.024837
A,0.396984,0.753023,-0.000000,0.447799,0.738031,-0.042497,0.503889,0.659217,-0.055753,0.526408,0.575492,-0.061168,0.550093,0.522012,-0.058733,0.484146,0.546566,-0.027740,0.489939,0.544922,-0.057065,0.477198,0.609047,-0.067985,0.465219,0.607800,-0.074202,0.437371,0.529666,-0.017563,0.436642,0.544697,-0.048519,0.436087,0.625897,-0.049370,0.435707,0.616924,-0.044584,0.393511,0.536331,-0.014333,0.389725,0.563912,-0.046079,0.399796,0.635666,-0.035510,0.404526,0.627624,-0.023532,0.354950,0.554778,-0.015006,0.353236,0.599262,-0.035044,0.367465,0.647885,-0.031707,0.376478,0.638364,-0.025348
A,0.399341,0.751169,-0.000000,0.448498,0.738041,-0.041488,0.503873,0.659081,-0.054180,0.524506,0.577302,-0.059583,0.549128,0.525545,-0.057592,0.482806,0.546727,-0.025513,0.487767,0.549444,-0.052676,0.475675,0.611519,-0.062546,0.463211,0.606833,-0.068447,0.437185,0.528909,-0.015720,0.433898,0.554209,-0.043504,0.434563,0.631078,-0.044427,0.433761,0.615160,-0.040575,0.394224,0.535737,-0.012699,0.388547,0.569483,-0.041653,0.399476,0.637294,-0.031802,0.404036,0.624094,-0.021326,0.355891,0.553601,-0.013669,0.352721,0.602385,-0.032493,0.367427,0.648603,-0.029678,0.376657,0.637013,-0.024053
A,0.417331,0.729536,-0.000000,0.465348,0.716944,-0.039538,0.517576,0.641265,-0.051529,0.537190,0.561358,-0.056550,0.560798,0.511583,-0.054311,0.498363,0.536682,-0.023799,0.502867,0.535410,-0.049972,0.490674,0.595999,-0.059067,0.479172,0.592059,-0.064168,0.454357,0.522000,-0.013780,0.453408,0.537956,-0.040465,0.452566,0.612950,-0.040118,0.451297,0.597813,-0.035358,0.413065,0.528458,-0.010446,0.409865,0.551992,-0.038149,0.419226,0.618253,-0.027687,0.422308,0.605941,-0.016738,0.376346,0.544224,-0.010894,0.375354,0.584916,-0.028239,0.387196,0.628797,-0.024990,0.392343,0.616596,-0.019278
